Year,Nigeria,Adamawa,Akwa Ibom,Anambra,Benue,Borno,Cross River,Delta,Edo,Abuja,Imo,Jigawa,Kaduna,Kano,Katsina,Kebbi,Kogi,Kwara,Lagos,Niger,Ogun,Osun,Oyo,Taraba,Yobe,Abia,Bauchi,Bayelsa,Ebonyi,Ekiti,Enugu,Gombe,Nassarawa,Ondo,Plateau,Rivers,Sokoto,Zamfara
1901,1344.89,1025.47,2639.57,2242.89,1658.13,568.55,2512.83,3024.8,2639.05,1553.5,2436.42,633.94,1284.47,794.88,751.28,897.72,1741.05,1638.49,2371.76,1346.51,2130.93,2226.92,1840.54,1355.37,543.21,2435.23,905.25,2945.3,2170.08,2177.53,1936.3,869.05,1439.77,2621.25,1211.56,2568.02,674.2,886.57
1902,1150.76,1025.47,2958.45,2094.62,1725.11,568.55,2761.82,2221.06,1667.74,1174.97,2489.93,633.94,1123.92,792.51,748.04,885.77,1328.09,978.62,1190.12,1073.58,1089.33,1055.2,968.39,1371.86,543.21,2626.46,897.1,2581.38,2317.05,1111.19,2034.81,869.05,1206.83,1318.3,1122.55,2737.25,674.2,880.17
1903,1222.17,1025.47,2902.59,2195.42,1766.09,568.55,2743.53,2500.09,1956.98,1406.2,2543.11,633.94,1227.55,793.82,749.95,887.25,1498.54,1120.97,1486.55,1173.7,1330.77,1413.49,1121.87,1376.25,543.21,2621.04,901.81,2789.58,2320.23,1466,2050.68,869.05,1394.84,1720.48,1180.15,2772,674.2,884.21
1904,1155.25,996.41,2738.85,2031.23,1602.78,522.16,2555.9,2410.35,1855.39,1073.45,2363.91,633.94,1079.32,791.84,747.04,881.23,1315.05,1089.52,1557.58,1028.62,1392.43,1403.03,1165.03,1363.34,535.9,2430.39,894.99,2722.37,2119.99,1393.23,1851.44,867.76,1132.58,1669.13,1100.28,2636.84,674.2,878.12
1905,1262.99,1028.84,3152.08,2358.62,1825.43,556.63,2974.42,2527.35,1930.75,1287.65,2794.32,760.3,1312.77,984.19,911.34,910.38,1484.54,1084.44,1431.55,1141.77,1277.7,1323.76,1078.71,1391.45,574.14,2889.79,1052.12,2894.49,2517.63,1386.44,2219.84,923.53,1305.28,1639.38,1204.93,3049.36,695.6,1016.81
1906,1255.97,1021.45,3012.3,2203.73,1781.42,602.14,2842.88,2526.59,1901.41,1259.24,2571.01,745.62,1282.91,932.02,905.4,880.89,1420.57,1139.43,1646.34,1119.62,1433.23,1386.54,1175.78,1450.59,577.74,2657.46,1002.34,2896.21,2331.09,1417.51,2020.23,885.72,1307.56,1700.85,1241.14,2846.01,706.49,1010.47
1907,1040.54,748.99,2259.89,1717.57,1358.95,539.51,2159.69,2075.1,1590.84,979.05,1973.85,704.72,966.71,823.81,742.2,752.62,1145.93,1076.61,1755.95,968.76,1543.52,1407.89,1275.54,1120.51,543.31,2012.22,812.55,2358.42,1779.82,1298.12,1563.5,657.56,982.58,1534.17,984.97,2166.79,588.35,775.07
1908,1220.53,1165.98,2790.04,1979.16,1652.28,611.74,2642.63,2377.58,1835.93,1177.65,2333.01,715.35,1193.4,873.8,755.61,778.59,1305.92,1171.66,1683.6,1049.52,1519.73,1503.89,1303.63,1523.86,593.93,2443.47,1072.17,2684.28,2138.23,1446.54,1813.1,1036.34,1227.64,1717.65,1313.71,2594.81,588,808.25
1909,1369.72,1241.39,2811.98,2228.71,1759.55,754.22,2708.01,2557.19,2051.86,1457.72,2510.27,795,1484.13,1035.64,994.82,1103.77,1562.89,1292.49,1691.14,1309.66,1506.19,1540.31,1299.71,1517.19,676.3,2527.63,1141.69,2810.09,2243.55,1652.26,2005.86,1047.32,1401.58,1833.85,1375.82,2699.43,858.76,1141.39
1910,1131.93,992.77,2414.5,1808.94,1427.7,561.39,2245.85,2289.32,1858.59,1213.89,2062.83,596.52,1075,744.61,702.05,827.41,1336.37,1230.09,1755.39,1152.69,1539.43,1446.42,1268.27,1298.41,511.36,2137.13,856.47,2356.25,1879.46,1453.06,1637.92,835.83,1143.06,1727.9,1079.58,2254.48,610.18,831.87
1911,1293.68,1141.29,2697.42,2057.72,1633.32,671.05,2525.32,2474.36,1919.05,1248.96,2383.43,703.63,1388.46,961.77,891.61,1090.44,1362.5,1152.68,1875.33,1132.17,1641.4,1573.25,1318.31,1512.2,616.06,2433.96,1118.99,2793.32,2097.33,1492.21,1856.32,1005.67,1278.06,1814.34,1388.26,2629.6,839.38,1117.26
1912,1036.8,944.85,2581.79,1851.02,1484.12,467.71,2421.47,2050.17,1620.53,1083.38,2173.05,535.26,1103.1,700.88,642.12,675.77,1218.11,882.44,1244.7,947.69,1053.83,1069.94,860.55,1286.46,456.58,2255.61,853.07,2302.7,1985.09,1191.58,1708.68,805.1,1107.69,1396.37,1085.13,2386.8,521.29,772.63
1913,1041.83,809.27,2772.23,1857.91,1491.09,337.72,2562.92,2240.33,1713.21,1098.4,2231.97,467.17,981.17,634.86,578.67,746.84,1249.11,1087.21,1595.37,1058.73,1371.11,1266.76,1116.69,1241.38,374.92,2346.28,728.9,2529.3,2002.65,1269.93,1689.46,676.49,1063.75,1552.01,979.24,2529.34,492.4,720.25
1914,979.96,838.3,2398.19,1588.36,1298.87,407.64,2151.96,1938.63,1424.76,813.65,1937.9,613.44,963.07,771.44,717.26,748.2,939.56,825.75,1496.36,806.26,1270.05,1136.01,949.53,1329.57,446.65,2045.51,841.85,2297.18,1700.29,1075.35,1431.01,742.74,893.92,1347.84,1006.92,2237.03,620.52,833.57
1915,1169.64,820.62,2939.57,2009.54,1615.92,521.68,2745.08,2521.74,1917.36,1112.28,2379.16,669.31,1122.92,826.16,798.74,823.88,1303.31,1209.03,1863.7,1089.82,1615.06,1488.38,1325.94,1156.01,554.97,2496.2,876.19,2769.39,2166.92,1423.94,1826.21,788.09,1144.51,1790.46,1044.55,2662.76,657.27,942.47
1916,1312.27,1271.19,2762.81,2030.72,1691.62,678.44,2640.95,2311.75,1896.57,1337.41,2328.64,846.65,1443.72,1039.71,959.28,958.06,1438.33,1214.25,1593.56,1269.14,1409.16,1396.32,1167.76,1570.19,705.65,2432.7,1145.39,2527.53,2170.64,1514.31,1866.38,1095.84,1342.5,1698.63,1351.09,2534.81,741.43,1080.45
1917,1282.71,980.75,2549.75,1967.22,1565.75,549.89,2466.84,2778.88,2233.49,1344.44,2236.61,660.72,1275.4,861.24,782.82,803.94,1490.63,1620.51,2351,1317.5,2091.71,2060.15,1805.48,1315.99,536.32,2274.92,960.07,2843.66,2013.72,1909.84,1763.85,887.65,1263.02,2287.12,1177.62,2464.77,562,916.68
1918,1244.16,1256.65,2710.56,2043.67,1541.5,655.74,2507.87,2340.63,1873.86,1193.1,2351.98,826.38,1267.68,991.78,961.9,983.84,1380.98,1064.85,1510.83,1125.95,1316.88,1285.63,1046.37,1474.95,703.61,2419.23,1047.87,2585.69,2093.83,1415.48,1844.22,1033.73,1181.2,1627.17,1169.16,2559.1,832.91,1079.37
1919,1101.11,1078.49,2336.48,1773.64,1485.96,517.42,2288,2033.4,1609.21,1094.56,2046.49,618.76,1104.61,779.75,769.48,976.36,1230.23,926.54,1348.71,1014.35,1164.75,1124.22,915.86,1420.6,504.74,2116.35,893.54,2291.04,1909.09,1236.76,1661.46,875.57,1123.02,1420.42,1116.17,2243.72,802.42,956.88
1920,1238.47,1078.18,2870.47,2054.26,1753.04,700.09,2784.3,2265.35,1807.09,1309.3,2360.33,781.25,1306.03,960.65,935.69,948.75,1436.91,1032.26,1346.57,1170.23,1168.31,1144.74,949.59,1390.4,661.27,2489.52,1015.01,2495.15,2247.1,1315.88,1917.73,944.74,1316.77,1496.08,1197.46,2560.48,787.11,1081.74
1921,1251.19,1097.97,2572.43,1960.2,1547.3,635.02,2391.43,2439.43,1967.72,1319.97,2234.52,693.39,1278.53,879.53,836.3,996.7,1436.11,1293.77,1923.33,1269.65,1692.3,1603.67,1373.08,1325.83,593.57,2296.29,984.38,2604.76,2013.33,1590.4,1779.36,957.86,1267.29,1857.18,1194.4,2453.28,750.29,1008.96
1922,1179.13,1033.03,2448.22,1771.84,1452.19,567.68,2324.84,2263.47,1789.76,1124.17,2046.06,719.86,1195.69,896.92,919.03,1004.6,1239.15,1170.17,1655.2,1124.94,1431.09,1470.43,1223.75,1407.77,572.9,2134.6,896.75,2427.71,1890.92,1427.28,1631.11,815.01,1127,1709.62,1099.8,2273.15,854.2,1090.16
1923,1208.5,1129.17,2503.19,1822.58,1709.13,512.14,2537.51,2087.58,1676.64,1209.52,2104.46,704.22,1251.33,887.27,821.07,1026.74,1297.25,1168.04,1641.47,1147.02,1379.52,1356.88,1161.25,1602.25,539.44,2224.26,991.25,2295.65,2091.43,1361.34,1749.99,950.67,1254.23,1565.4,1249.25,2265.83,792.83,1001.91
1924,1283.06,1141.7,2665.53,2069.22,1658.29,707.19,2556.22,2308.31,1874.69,1307.38,2369.29,752,1314.05,935.98,915.29,1147.05,1446.71,1288.84,1367.8,1307.92,1280.07,1314.55,1192.96,1404.96,664.33,2439.78,1002.68,2604.23,2214.73,1494.78,1924.91,985.6,1277.47,1631.66,1193.42,2559.16,898.67,1153.27
1925,1237.05,1105.51,2628.63,1909.94,1651.02,504.22,2564.37,2261.41,1769.5,1292.32,2231.29,727.24,1288.6,930.41,893.9,1076.6,1351.54,1212.65,1629.84,1257.86,1401.43,1399.41,1200.92,1509.19,528.96,2331.47,984.25,2517.73,2088.98,1385.4,1764.35,882.19,1259.79,1619.59,1231.08,2438.59,839.52,1095.4
1926,1159.49,1085.84,2483.47,1758.81,1542.77,570.7,2392.17,2076.24,1653.95,1218.8,2048.89,659.14,1194.54,858.09,753.51,816.29,1230.8,1164.71,1671.53,1161.44,1434.74,1443.54,1190.68,1449.96,534.61,2169.23,994.13,2266.08,1953.1,1384.63,1637.33,947.74,1213.21,1605.41,1254.35,2241.97,543.73,827.67
1927,1274.1,1156.59,2615.85,1965.94,1559.73,703.44,2407.74,2297.91,1845.04,1324.11,2269.21,761.86,1309.37,943.72,930.86,1232.44,1394.83,1269.19,1333.33,1340.61,1205.63,1284.16,1104.66,1435.51,648.41,2347.51,1005.74,2562.94,2044.29,1453.85,1793.74,975.29,1270.62,1637.76,1222.63,2501.56,961.14,1153.93
1928,1263.35,1156.9,2794.47,2136.99,1662.7,547.52,2617.2,2542.33,1986.9,1308.24,2489.78,754.63,1245.93,923.33,880.61,993.73,1451.1,1272.75,1703.2,1242.61,1484,1526.22,1249.11,1426.51,552.92,2537.39,977.73,2795.58,2219.17,1541.17,1955.11,942.57,1273.33,1818.38,1175.72,2708.48,762.85,983.82
1929,1278.64,1072.89,2814.68,2081.99,1603.9,544.78,2594.33,2499.88,1956.29,1265.32,2433.47,735.58,1250.7,916.63,880.43,1192.74,1412.59,1352.1,1825.54,1315.32,1554.46,1516.47,1289.96,1440.78,568.29,2510.36,989.36,2751.36,2161.8,1531.78,1890.28,939.7,1221.09,1837.64,1182.39,2672.2,851.08,1071.2
1930,1303.2,1039.52,2845.07,2191.23,1806.06,600.49,2742.67,2576.98,2063.31,1378.69,2510.26,696.61,1306.34,863.96,821.62,1094.87,1546.25,1271.13,1656.1,1295.68,1425.39,1486.02,1224.78,1516.99,606.7,2589.67,1006.91,2783.52,2345.7,1597.76,2031.38,924.61,1370.72,1856.13,1283.91,2717.14,812.43,1013.24
1931,1280.01,1118.77,2805.41,2087.91,1556.72,671.59,2553.5,2616.15,2020.99,1294.69,2409.82,719.04,1293.02,898.43,884.06,1042.6,1494.84,1311.43,1864.98,1288.25,1604.17,1637.04,1303.9,1346.23,641.03,2463.49,957.44,2892.54,2097.71,1573.56,1862.71,910.4,1242.51,1906.36,1124.22,2677.21,748.22,1052.83
1932,1140.69,1048.29,2320.23,1736.21,1442.37,628.8,2232.67,1972.5,1594.12,1076.39,1997.77,780.74,1183.22,938.52,892.26,968.84,1208.64,1073,1296.63,1030.91,1142.45,1149.45,989.28,1366.52,617.84,2073.92,1013,2184.8,1844.7,1277.27,1595.07,930.26,1133.92,1432.93,1191.85,2175.83,857.65,1027.02
1933,1327.96,1156.07,2799.84,2155.18,1663.68,669.79,2707.91,2638.56,2095.18,1288.24,2478.36,782.76,1298.9,991.08,955.54,994.45,1509.7,1418.9,2067.74,1261.69,1814.41,1705.79,1502.69,1439.38,629.8,2512.99,999.25,2903.23,2220.18,1717.7,1943.27,960.64,1241.03,1932.12,1187.92,2701.05,843.04,1090.62
1934,1254.43,1107.63,2461.21,2103.52,1662.08,591.96,2432.14,2587.92,2067.6,1363.9,2313.55,657.87,1241.03,829.77,762.6,970.56,1520.33,1282.61,1932.24,1229.3,1689.61,1565.88,1354.66,1426.41,563.38,2283.21,961.55,2662.36,2115.94,1576.89,1917.92,932.95,1357.03,1888.51,1263.12,2418.76,704.46,890.35
1935,1237.22,1030.94,2707.82,1963.09,1568.15,566.81,2575.76,2397.58,1823.56,1163.96,2306.76,801.16,1238.26,990.55,926.21,1022.12,1277.12,1196,1916.49,1139.59,1662.1,1462.38,1278.08,1399.8,598.39,2373.5,1041.59,2691.54,2077.2,1397.21,1782.1,936.98,1182.2,1734.76,1201.38,2546.59,850.78,1041.09
1936,1241.23,1235.35,2574.88,1738.96,1503.64,725.1,2407.73,2055.46,1567.82,1112.35,2078.62,834.05,1280.62,992.18,956.01,1174.25,1182.36,1040.43,1425.59,1080.42,1241.52,1272.99,1047.31,1528.24,702.01,2192.34,1154.19,2418.2,1902.53,1273.85,1610.26,1111.98,1183.04,1489.08,1339.62,2345.66,1069.14,1192.65
1937,1159.86,991.3,2433.07,1862.48,1480.44,633.83,2318.81,2339.82,1834.48,1118.4,2144.67,697.07,1085.85,796.9,785.98,853.41,1280.02,1132.92,1667.84,1070.59,1449.81,1516.47,1235.8,1302.44,656.2,2191.6,925.58,2535.34,1952.83,1423.52,1695.64,892.06,1102.74,1752.08,1075.22,2341.44,762.62,941.92
1938,1182.83,1000.54,2821.37,1878.19,1514.99,648.22,2606.12,2193.59,1689.01,1131.11,2233.26,825.19,1237.25,932.91,892.18,996.68,1241.53,1031.56,1413.69,1074.37,1235.04,1228.64,1025.52,1273.16,639.62,2374.1,1055.98,2554.29,2064.48,1274.24,1731.45,958.27,1162.8,1497.94,1186.36,2530.58,780.58,999.54
1939,1336.57,1134.86,2855.62,2180.84,1737.64,658.89,2725.35,2556.12,1976.53,1341.33,2560.11,861.07,1369.86,1091.03,1096,1122.15,1429.42,1252.29,1522.29,1280.13,1320.58,1391.38,1175.56,1492.5,690.37,2612.84,1079.69,2912.93,2301.5,1493.2,1989.15,1022.68,1341.83,1714.73,1321.82,2808.23,932.1,1220.83
1940,1230.43,1070.84,2877.64,2031.46,1629.42,574.04,2694.65,2418.14,1827.13,1177.85,2418.67,713.71,1190.07,866.78,838.07,1002.98,1352.11,1235.09,1608.39,1187.01,1415.66,1409.67,1228.65,1448.92,567.52,2524.28,967.1,2771.41,2172.65,1375.61,1848.77,901.69,1185.23,1661.59,1185.36,2689.54,750.39,983.55
1941,1222.26,1077.19,2908.6,2171.48,1647.12,531.57,2737.94,2660.17,1987.36,1151.64,2542.13,648.93,1143.06,841.34,811.59,892.01,1372.23,1149.28,1855.7,1087.53,1607.49,1562.12,1271.82,1451.27,496.5,2611.96,915.23,2961.51,2253.45,1443.61,1947.26,885,1169.46,1850.05,1148.99,2781.97,710.48,935.77
1942,1107.14,954.83,2822.24,1900.37,1618.41,554.45,2654.45,2270.44,1666.18,1073.57,2267.85,583.77,1037.5,718.74,612.05,771.61,1189.15,972.17,1609.05,945.38,1358.18,1297.12,1066.59,1435.69,538.11,2407.51,885.57,2606.2,2112.13,1182.04,1760.8,837.07,1140.09,1547.3,1132.94,2563.38,549.87,702.41
1943,1220.57,1106.41,2746.09,1939.95,1543.64,623.66,2560.52,2341.73,1757.81,1123.05,2297.68,836.69,1194.92,945.99,869.79,989.27,1242.97,1049.01,1676.72,1049.98,1426.32,1383.66,1101.75,1485.42,693.48,2406.34,1078.11,2686.19,2074.55,1332.11,1777.39,1015.37,1152.92,1655.68,1238.24,2591.78,838.82,965.12
1944,1105.72,933.04,2429.87,1810.91,1499.43,502.05,2343.97,2190.57,1724.24,1068.51,2131.22,605.88,1010.17,714.46,680.63,934.05,1236.41,1140.37,1442.18,1053.74,1277.25,1360.33,1173.8,1370.81,516.27,2196.93,831.78,2445.93,1943.07,1372.76,1655.36,793.77,1087.87,1589.86,1049.05,2354.49,710.48,866.37
1945,1140.89,1004.12,2203.01,1715.15,1397.26,624.55,2113.85,2076.34,1610.2,1142.09,1979.88,784.08,1235.58,978.82,964.46,995.39,1174.14,1040.51,1266.31,1098.47,1119.23,1108.4,969.36,1268.61,627.41,2023.51,1015.25,2294.11,1786.86,1206.54,1544.32,945.45,1126.25,1410.19,1146.7,2164.36,904.34,1113.11
1946,1187.11,1082.78,2478.08,1675.09,1402.86,781.09,2316.25,1859.53,1426.67,1068.07,1960.15,1008.16,1305.85,1134.68,1162.81,1036.42,1056.43,906.4,1112.23,1066.46,972.52,950.87,845,1374.99,849.23,2082.47,1190.09,2202.8,1834.9,1035.04,1548.68,1090.24,1097.5,1209.79,1226.88,2209.92,926.16,1230.78
1947,1244.32,985.19,2551.66,2035.14,1733.49,561.67,2583.77,2539.76,1970.55,1357.68,2316.47,693.81,1253,885.3,870.58,846.84,1470.08,1317.61,1859.88,1187.63,1620.68,1596.28,1425.9,1368,527.48,2374.7,949.03,2737.91,2192.73,1506.48,1870.46,872.65,1362.45,1845.63,1243.84,2512.98,695.68,955.98
1948,1180.03,1144.58,2595.64,1965.21,1725.52,573.65,2536.83,2200.79,1748.02,1285.9,2277.33,673.33,1206.83,873.21,837.62,906.29,1345.67,1021.74,1075.39,1076.49,948.17,987.02,878.54,1515.61,559.01,2351.02,987.06,2450.59,2158.92,1221.48,1841.73,951.23,1336.12,1405.4,1306.47,2457.76,755.01,958.38
1949,1163.2,959.01,2715.16,2206.31,1672.49,428.63,2592.42,2645.88,2125.49,1202.63,2514.12,483.55,1049.66,700.85,639.77,809.91,1500.97,1284.16,1556.53,1121.28,1435.94,1509.36,1368.62,1383.15,376.69,2554.16,743.37,2815.48,2241.14,1566.92,1992,705.96,1201.7,1871,1070.44,2693.7,569.96,805.48
1950,1140.6,990.44,2419.68,1707.12,1432.38,766.74,2293.46,1962.36,1575.5,1026.35,1997.72,787.01,1088.88,866.49,880.95,959.75,1176.98,1065.5,1368.6,1040.7,1206.73,1213.9,1077.6,1251.11,782.52,2106.38,966.15,2220.1,1879.75,1263.32,1590.46,910.81,1035.07,1443.61,1028.66,2223.82,886.97,1049.52
1951,1267.75,1109.43,2572.05,1941.04,1626.6,589.84,2522.97,2419.11,1916.96,1263.02,2251.51,723.92,1281.93,903.35,849.18,1110.68,1372.5,1350.81,1709.93,1328.08,1503.43,1576.02,1315.39,1474.54,573.73,2320.4,977.32,2599.44,2055.85,1543.02,1748.14,927.13,1236.84,1816.3,1207.59,2465.86,844.02,1039.93
1952,1291.54,989.6,2892.66,2118.16,1651.74,707.51,2701.41,2601.75,1979.46,1195.48,2476.39,909.88,1238.19,1009.41,983.12,1077.33,1366.84,1110.88,1725.31,1109.06,1503.73,1495.08,1223.44,1379.13,761.1,2602.14,1067.27,2883.48,2268.21,1416.64,1939.39,956.14,1210.41,1791.02,1192.91,2763.24,1051.17,1148.12
1953,1264.42,1048.34,2601.81,1925.74,1564.18,732.38,2510.48,2247.91,1859.03,1218.37,2202.49,820.66,1168.42,902.56,936.58,1160.38,1374.21,1328.67,1538.26,1251.32,1377.97,1420.24,1302.76,1333.19,790.97,2279.51,1030.18,2438.35,2042.9,1480.15,1775.7,992.85,1184.42,1683.75,1131.02,2409.99,986.52,1129.43
1954,1420.72,1094.81,3036.66,2308.79,1917.3,664.78,3002.31,2674.76,2150.9,1370.65,2690.6,1045.74,1444.19,1205.9,1138.44,1152.28,1605.82,1273.31,1676.11,1292.02,1484.94,1542.94,1257.09,1674.2,722.04,2788.23,1221.98,2977.08,2485.12,1663.05,2123.88,1048.2,1394.21,1890.04,1384.17,2958.4,981.21,1203.07
1955,1363.35,1159.46,2848.62,2221.48,1744.03,688.22,2708.02,2661.51,2108.49,1409.35,2559.47,896.75,1385.53,1078.11,990.22,1090.77,1515.28,1387.48,1752.37,1361.81,1560.39,1572.8,1374.67,1514.54,651.02,2636.54,1079.44,2893.83,2290.1,1606.54,2029.36,976.76,1376.68,1902.32,1317.82,2796.25,799.53,1089.6
1956,1136.25,1007.4,2869.65,1902.37,1522.74,660.48,2685.85,2194.5,1689.26,1010.43,2251.67,770.47,982.19,797.58,814.37,929.29,1219.39,1019.2,1305.99,978.14,1184.78,1250.26,1011.85,1312.41,662.75,2408.51,892.18,2564.75,2134.64,1300.06,1797.74,841.1,1032.91,1494.21,1014.71,2556.55,760.53,940.41
1957,1441.45,1182.1,2994.5,2267.65,1805.69,716.09,2869.57,2900.5,2308.92,1392.47,2603.77,891.92,1464.53,1115.19,1069.88,1118.44,1575.69,1433.48,2148.08,1360.54,1884.76,1882.85,1496.76,1580.15,712.79,2682.18,1172.13,3060.45,2358.15,1792.95,2013.73,1082.38,1382.89,2213.53,1361.93,2848.93,906.6,1218.45
1958,1119.92,1101.12,2439.66,1650.6,1346.55,711.35,2288.99,1951.51,1533.44,1039.15,2005.41,832.47,1107.34,938.52,886.11,830.06,1121.72,968.78,1437.69,992.99,1210.99,1187.07,932.54,1279.99,704.03,2113.07,1012.22,2248.71,1831.61,1262.5,1528.97,996.3,1008.47,1440.42,1043.57,2259.79,835.16,1012.03
1959,1241.83,1110.75,2972.88,1890.11,1518.15,758.53,2605.99,2347.12,1791.67,1136.29,2247.89,794.08,1219.88,904.51,889.6,953.43,1244.65,1215.5,1758.83,1145.63,1530.95,1443.83,1269,1389.79,686.57,2389.57,1021.38,2617.51,2028.06,1397.12,1704.94,987.88,1152.62,1696.95,1198.38,2594.54,799.2,1014.29
